course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
CNSV 102 MM,"Composition Tutorial","Melissa Mazzoli",4,5,,,,,,,,,"PA","","","This course is for Conservatory composition majors and consists of 13 one-hour private lessons with members of the Bard College Conservatory composition faculty.",92227,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 102 JM,"Composition Tutorial","Jessie Montgomery",4,5,,,,,,,,,"PA","","","This course is for Conservatory composition majors and consists of 13 one-hour private lessons with members of the Bard College Conservatory composition faculty.",92228,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 102 JT,"Composition Tutorial","Joan Tower",4,5,,,,,,,,,"PA","","","This course is for Conservatory composition majors and consists of 13 one-hour private lessons with members of the Bard College Conservatory composition faculty.",92229,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 102 GT,"Composition Tutorial","George Tsontakis",4,5,,,,,,,,,"PA","","","This course is for Conservatory composition majors and consists of 13 one-hour private lessons with members of the Bard College Conservatory composition faculty.",92230,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 104,"Secondary Piano","Erika Switzer",2,20,,,,,,,,,"PA","","","This course develops technical and musical skills through weekly hour-long private piano lessons taught by the excellent pianists of the Postgraduate Collaborative Piano Fellowship. Students are graded based on the quality of preparation for lessons, attendance, and an end of the semester jury. Registration is open to Conservatory students at all levels of pianistic skill and experience. College students wishing to take secondary piano do so through the undergraduate music program.",92231,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 106 RM,"Voice Lessons","Rufus Müller",2,5,,,,,,,,,"PA","","","",92232,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 106 TB,"Voice Lessons","Teresa Buchholz",2,5,,,,,,,,,"PA","","","",92233,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 106 LFG,"Voice Lessons","Lucy Fitz Gibbon",2,5,,,,,,,,,"PA","","","",92234,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 108,"First-Year Conservatory Forum: Wellness, Life Skills and Chamber Music","Melissa Reardon and Raman Ramakrishnan",2,30,Mon, 18:40, 20:00, "Olin 104",,,,,"PA","","","Enrollment in this course is required of all first-year undergraduate students in the Conservatory. Chamber music is a key component of the Conservatory experience. An intensive study of chamber music, in addition to creating its own rewards, teaches us many invaluable life skills. Life as a musician can be extremely fulfilling, but it can also, at times, be difficult physically, psychologically, socially, logistically, and in any number of other ways. This course aims to give students some tools to help them navigate their lives as musicians in the double degree program and beyond. In addition to the serious study of a chamber music work, a series of presentations, workshops, and discussions will cover such topics as time management, practice techniques, physical well-being, and mental well-being. Chamber groups will work with Conservatory faculty, participate in weekly workshops, and present a final performance at the end of the semester.",92236,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 110,"Chamber Music","Marka Gustavsson",2,100,Wed, 13:20, 15:20, "Blum Music Center HALL",,,,,"PA","","","Enrollment in this course is required of all Bard Conservatory performance undergraduates, after their first year fall semester in CNSV 108. Each student will be assigned to a chamber group or students may request their to play a specific piece, with colleagues who have also committed to the project. Requests must be sent to gustavss@bard.edu before August 15, and January 15. Rehearsal requirements should include at least two weekly 90 min meetings, regular coaching to be arranged by the lesson scheduler, participation and attendance in weekly performance classes. Performance is required in one or more of the following concerts: the Chamber Music Marathon (Nov/April), noon concerts, student recitals. **Notes: Undergraduate students who have an exceptional need to reduce their workload may apply for a waiver for CNSV 110. Students must submit the online waiver form, and send an email notification to gustavss@bard.edu. The waiver must be approved before the end of the first week of classes. Waivers received later than the first week will not be considered. Students may request to audit Chamber Music CNSV 110 for 0 cr, however the workload remains the same as the credit bearing requirement.",92237,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 112,"Orchestral Training and Repertoire","Erica Kiesewetter",0,100,Tue Thurs, 19:00, 21:30, "Fisher Performing Arts Center SSR",,,,,"PA","","","This class will focus on training and performance of orchestral literature (standard and also unusual and contemporary). Bi-annual auditions help familiarize students with this process, and sectionals are held by members of the American Symphony orchestra, Metropolitan Opera Orchestra and other faculty. Four programs a year including opera, and extra performances in major US cities and abroad. Maestro Leon Botstein is the music director, and guest conductors appear for two programs a year, in addition to Tan Dun and James Bagwell.",92238,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 118,"Chinese Ensemble","Chen Tao",0,15,Mon Wed, 19:30, 22:00, "Bito Conservatory Bldg. CPS",,,,,"PA","","","Chinese Ensemble provides Chinese instrument majors large ensemble and chamber music experience with regular rehearsals and performance opportunities. Students work closely with the ensemble coach and their studio teachers to further develop their skills in ensemble playing, intonation, and musical expression through practical playing experience. At least one major Chinese Ensemble concert with the participation of all Chinese instrument majors will be performed each semester on campus, supplemented by other types of performance opportunities on and off campus throughout the year. Studio teachers assist the ensemble coach as well as performing in ensembles, allowing students to learn firsthand from the playing of more experienced musicians. Mixed ensembles including Western instruments are encouraged. The Chinese Ensemble program is further enriched by master classes and concerts by guest artists. Note: This course will be the US-China Music Institute equivalent to both the Conservatory Chamber Music and Orchestra requirements. Separate enrollment in Chamber Music or Orchestra is not required. This class is open to all students at Bard. If you are not a conservatory student but want to take this class, please contact hlin@bard.edu for more information. This class is also possible to be a 2 credits class up on request.",92247,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 125,"Literature and Language of Chinese Music I: Introduction","Mingmei Yip-Redmond",2,12,Thurs, 11:50, 13:10, "Blum Music Center N210",,,,,"AA","","","Through more than three thousand years long history, Chinese has developed a unique musical aesthetic and system which intertwined with its philosophy, culture and customs of both the Han and ethnic tribes. This course will present Chinese music in its social and cultural context and will be suitable for beginners and more advanced students. It will introduce Chinese music through interactive didactic sessions augmented with recordings of the kinds of music under discussion, and PowerPoint presentations of related Chinese art, together with guest appearances of prominent performers in the New York area. This class is open to all college students.",92249,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 128,"Literature and Language of Chinese Music III: Folk Music","Mingmei Yip-Redmond",2,12,Thurs, 13:30, 14:50, "Blum Music Center N210",,,,,"AA","","","Through the repertoire listening, score study, and singing, this course emphasizes the history, structure, melodic, rhythmic, harmonic, and performance characteristics of Chinese folk music. It includes Han folk songs Shan Ge, Xiao Diao, and Hao Zi, and minority folk songs of Mongolian, Uyghur, Tibetan, Yi, Dai, Miao, Nakhi, and Korean. It also includes Han and minority folk songs and dances of Han, Uyghur, Tibetan, Miao, Dong, and Dai as well as folk chorus of Han, Dong, Miao, Tujia, and Zhuang. Speaking and singing will also be introduced in this class. Students will have the opportunity to learn composition techniques in various folk music styles. Prerequisite: For students majoring other than Chinese music, they must complete Music Theory II in the Department of Music or Conservatory Core Sequence Class I before taking Chinese Music III: Folk Music.",92251,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 130,"Orchestral Repertoire for Winds, Brass, Percussion, and Harp","Edward Carroll",2,30,Wed, 14:00, 15:30, "Bito Conservatory Bldg. CPS",,,,,"PA","","","Works drawn from the core of the symphonic repertoire are studied and rehearsed in 2- hour sessions throughout the semester. This course addresses issues of ensemble playing, intonation and musical expression for wind, brass, percussion, and harp players in orchestra. This course also broadens the knowledge of the symphonic repertoire through actual playing experience. Woodwind/Brass class will follow from 7:30 pm – 9:30 pm",92239,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 140,"Core Sequence Class I: Diatonic Harmony and Single Species Counterpoint","Eric Wen",4,20,Tue Thurs, 13:30, 14:50, "Blum Music Center N217",,,,,"PA","","","Core Sequence in Theory, Analysis, and Composition. Harmony and Counterpoint is an accelerated introduction to species counterpoint and traditional harmony, now increasingly weighted towards the latter as a necessary background for Composing in Tonal Forms. There are no prerequisites to the class aside from basic musical literacy, particularly the ability to read treble bass and alto clefs reasonably fluently. A very few conservatory students will require a review of musical fundamentals, obtainable through the music department Theory I class. Exemption policy: Exemption is to be determined by a placement exam. Those who have taken theory and counterpoint at others schools are generally well prepared to place.",92240,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 201,"Composing for Film: Aesthetics & Techniques","Mark Baechle",2,15,,,,,,,,,"PA","Music","","This course will explore the aesthetics and practice of film music composition. Common uses of film music will be understood through the analysis of pivotal film scores. Techniques for writing and producing film music will be demonstrated using behind the scenes, real world examples from Oscar winning Indies and Hollywood Blockbusters. In addition to gaining an understanding of the design of popular film scores, students will learn practical techniques and methods for creating music productions through demonstrations using software applications and computer workstations. The course will feature guest lectures from some of the leading figures in film music composition, including Conservatory dean and film composer Tan Dun. Prerequisites: This class is open to all students at Bard who have a basic knowledge of music theory demonstrated through successful completion of a Conservatory or Music Program theory class. Or by permission of instructor.",92241,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 211,"Alexander Technique for Musicians","Alexander Farkas",1,20,,,,,,,,,"PA","","","The Alexander Technique provides a way of teaching us how to re-connect with our own innate energies. For musicians this means discovering a way of performing with greater muscular ease, less accumulated fatigue and a less restrictive approach to technique. This course introduces both F. M. Alexander's principles and a new set of physical experiences suited to the musician's specific needs. The aim of the class will be learning how to apply the Technique to practice and performance situations. Students will have the opportunity to work with their instruments in class.",92242,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 218,"Literature and Language of Chinese Music III: Folk Music","Xinyan Li",2,12,Tue, 15:30, 16:50, "Blum Music Center N210",,,,,"PA","","","Through the repertoire listening, score study, and singing, this course emphasizes the history, structure, melodic, rhythmic, harmonic, and performance characteristics of Chinese folk music. It includes Han folk songs Shan Ge, Xiao Diao, and Hao Zi, and minority folk songs of Mongolian, Uyghur, Tibetan, Yi, Dai, Miao, Nakhi, and Korean. It also includes Han and minority folk songs and dances of Han, Uyghur, Tibetan, Miao, Dong, and Dai as well as folk chorus of Han, Dong, Miao, Tujia, and Zhuang. Speaking and singing will also be introduced in this class. Students will have the opportunity to learn composition techniques in various folk music styles. Prerequisite: For students majoring other than Chinese music, they must complete Music Theory II in the Department of Music or Conservatory Core Sequence Class I before taking Chinese Music III: Folk Music.",92250,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 308,"Aural Skills III","David Sytkowski",2,12,Tue Thurs, 8:30, 9:50, "Olin 104",,,,,"PA","","","This course should be taken at the same time as, or previous to, taking Core Sequence I (Harmony and Counterpoint). It is recommended that this course and Aural Skills IV be taken in the first two years of the Conservatory degree.",92243,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 310,"Keyboard Skills","Frank Corliss",2,12,,,,,,,,,"PA","","","A class designed for piano majors who wish to develop and improve skills in score reading, transposition, sight reading, and playing orchestral reductions. May be taken for a total of 2 semesters.",92244,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 330 B,"Core Sequence Class III: Composition for Performers","Joan Tower",4,12,Tue, 10:40, 12:00, "Blum Music Center HALL",,,,,"PA","","","Core Sequence in Theory, Analysis, and Composition. The composition seminar is taught by the conservatory composition faculty Joan Tower and George Tsontakis, two of our most celebrated composers and teachers of composition. Students will produce several original compositions to be performed by themselves and others at a final concert. Exemption policy: Students can petition for exemption based on their having produced substantial original works. (Of course, those with an interest in composition will be unlikely to pass up the opportunity to study with two major figures in contemporary music.) Students must contact the instructor first before signing up for the class.",92245,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 330 A,"Core Sequence Class III: Composition for Performers","Joan Tower",4,8,Tue, 9:10, 10:40, "Blum Music Center HALL",,,,,"PA","","","Core Sequence in Theory, Analysis, and Composition. The composition seminar is taught by the conservatory composition faculty Joan Tower and George Tsontakis, two of our most celebrated composers and teachers of composition. Students will produce several original compositions to be performed by themselves and others at a final concert. Exemption policy: Students can petition for exemption based on their having produced substantial original works. (Of course, those with an interest in composition will be unlikely to pass up the opportunity to study with two major figures in contemporary music.) Students must contact the instructor first before signing up for the class.",92325,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 333,"Core Sequence Class IV: Conservatory Seminar on Chinese Music and Society","Jindong Cai",4,12,Tue, 18:00, 21:00, "Blum Music Center N217",,,,,"","","","This is the capstone class for the Conservatory Core Sequence in Chinese Music, and is designed to give students the ability to place their music making in a larger social, historical, and expressive context. The seminar explores Chinese music and the arts in society. Topics include the political role that music and the arts have played, and continue to play, in modern China’s history, as well as the history of Western music in China and its close association with domestic politics and international diplomacy. This course is taught by the director of the US-China Music Institute, Jindong Cai. The course is taught in English, Mandarin Chinese is not required. Open to college students with the permission of the instructor.",92252,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
CNSV 403,"Senior Recital Seminar","Peter Laki Raman Ramakrishnan",2,40,Tue Thurs, 13:30, 14:50, "Bito Conservatory Bldg. CPS",,,,,"PA","","","Students who are preparing for their degree recitals meet weekly to perform their recital repertoire for each other, and for members of the Conservatory faculty. In addition, the students conduct historical and analytical research into their repertoire, and write program notes that are printed and distributed to the audience the day of the recital, timetable permitting. Besides the weekly performance class, the seminar normally entails four or five individual meetings with the faculty member who assigns reading materials and supervises the writing of the program notes. The objective of the seminar is to give students an opportunity to become comfortable performing their recital repertoire, and to learn how to give each other constructive comments; they will also discuss and reflect on the music, and hone their writing styles.",92246,Conservatory of Music,https://inside.bard.edu/academic/courses/fall2023/conservatory.html
PS 131,"Women and Leadership","Deirdre d’Albertis, Erin Cannan and Michelle Murray",2,20,Fri, 10:00, 12:00, "Chapel",,,,,"D+J","","","It is 2023. Why aren't there more women in leadership positions? According to a 2018 Pew Research Center report, the majority of American men and women acknowledge the capacity of women to lead. Yet in certain domains--most notably politics and business-- continue to be under-represented at the top and the American public remains skeptical that gender parity can be achieved. Recent elections have galvanized the electorate around constructions of gender in particularly dramatic ways. If we are living in a post-feminist society (as some claim), why do these questions and conflicts continue to arise? Identity is an urgent conversation in 21st-century politics and everyday life, and this includes awareness of how intersectionality shapes gendered experiences. What are the stories that we tell ourselves and each other about equality, representation, privilege, freedom, authority, and success? How do these inflect real-world outcomes for individuals and societies? In this two-credit course we will explore some of the stories that circulate in our culture around women and power, both from an academic and from a practical, real-world perspective. What does it mean to lead? How do we use a language of empowerment? Why has the United States embraced certain narratives of gender equity and success as opposed to those being created in other countries and cultures? We will focus on learning from women who are committed to making a difference in the world through their personal and professional choices, hearing their stories, and reading texts that have been particularly important to them in their lives and work. So too, we will engage with stories from the past (archival research), from across disciplines (government, politics, the military, higher education, STEM, the arts, tech, media) and from a wide range of perspectives. As an Engaged Liberal Arts and Sciences course, this seminar will provide students with the unique opportunity to bring theory and practice together in a very immediate sense: by the end of the term you will have identified a story only you can tell, whether it is based in political activism, community engagement, or work experience. Drawing on the rich resources here in Annandale as well as through Bard's other campuses we will reach out to groups and organizations with a shared focus on gender. Network building is something we will explicitly address. This course is open to all first-year students. Upper College students may also participate if selected to serve as course fellows.",92480,Women and Leadership,https://inside.bard.edu/academic/courses/fall2023/wleaders.htm
CC 114,"Rooted and Mobile: The World of Natural Dyes","Heeryoon Shin, Beka Goedde, Simeen Sattar and Thena Tak",4,5,Tue Thurs, 10:10, 11:30, "Fisher Studio Arts 142",,,,,"AA, PA","","Tue Thurs 10:10-11:30 Garcia-Renart House, Tue Thurs 10:10-11:30 Hegeman 201 / Rose Laboratories 205, Tue Thurs 10:10-11:30 Olin 301","This interdisciplinary course explores the history, science, and practice of natural dyes and their relationship to land and mobility. Before the development of synthetic dyes in the second half of the nineteenth century, natural dyestuffs were cultivated, traded, and used across the world not only as highly coveted commodities, but also as sources of scientific knowledge, inspiration for creativity, and social and cultural identities. At once the product of local land and long-distance transactions, natural dyes help us navigate and rethink the boundaries and connections between local and global, indigenous and foreign, and permanent and transitory. Drawing upon dye plants currently growing in and around the Bard campus, including indigo, madder, sumac, goldenrod, safflower, and marigold, we will examine how natural dyes initiated cultural transformations, scientific developments, and human interactions with the natural world in their rooted and mobile states. A special emphasis will be placed on the historical indigenous use of land and native dye plants in the Hudson Valley area in collaboration with Bard Farm and Bard Community Garden, and partially supported by the Rethinking Place Initiative.",91870,Rethinking Place,https://inside.bard.edu/academic/courses/fall2023/rethinkingplace.htm
