web-scraper-order,web-scraper-start-url,title,number,crn,class_cap,credits,professor,schedule,property_1_type,property_1_value,property_2_type,property_2_value,property_3_type,property_3_value,property_4_type,property_4_value,description,programs,programs-href
"1682449711-11","https://inside.bard.edu/academic/courses/current/menu.htm","Composition Tutorial","CNSV 102 JM","11158","5","4","Jessie Montgomery","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-12","https://inside.bard.edu/academic/courses/current/menu.htm","Composition Tutorial","CNSV 102 MM","11159","5","4","Melissa Mazzoli","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-13","https://inside.bard.edu/academic/courses/current/menu.htm","Composition Tutorial","CNSV 102 JT","11160","5","4","Joan Tower","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-14","https://inside.bard.edu/academic/courses/current/menu.htm","Composition Tutorial","CNSV 102 GT","11161","5","4","George Tsontakis","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-15","https://inside.bard.edu/academic/courses/current/menu.htm","Secondary Piano","CNSV 104","11162","20","2","Erika Switzer","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course develops technical and musical skills through
weekly hour-long private piano lessons taught by the excellent pianists of the
Postgraduate Collaborative Piano Fellowship. Students are graded based on the
quality of preparation for lessons, attendance, and an end of the semester
jury. Registration is open to Conservatory students at all levels of pianistic
skill and experience. College students wishing to take secondary piano do so
through the undergraduate music program.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-16","https://inside.bard.edu/academic/courses/current/menu.htm","Voice Lessons","CNSV 106 RM","11163","5","2","Rufus Muller","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-17","https://inside.bard.edu/academic/courses/current/menu.htm","Voice Lessons","CNSV 106 TB","11164","5","2","Teresa Buchholz","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-18","https://inside.bard.edu/academic/courses/current/menu.htm","Voice Lessons","CNSV 106 LFG","11165","5","2","Lucy Fitz Gibbon","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-19","https://inside.bard.edu/academic/courses/current/menu.htm","Orchestral Training and Repertoire","CNSV 112","11167","100","0","Erica Kiesewetter","Tue  Thurs    7:00 PM
  - 9:30 PM Fisher Performing Arts Center Sosnoff","Distributional","PA Practicing Arts","null","null","null","null","null","null","This class will focus on training and performance of
orchestral literature (standard and also unusual and contemporary). Bi-annual
auditions help familiarize students with this process, and sectionals are held
by members of the American Symphony orchestra, Metropolitan Opera Orchestra and
other faculty. Four programs a year including opera, and extra performances in
major US cities and abroad. Maestro Leon Botstein is the music director, and
guest conductors appear for two programs a year, in addition to Tan Dun and
James Bagwell.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-20","https://inside.bard.edu/academic/courses/current/menu.htm","Chinese Ensemble","CNSV 118","11176","20","0","Chen Tao","Tue      7:00 PM
  - 9:30 PM Bito Conservatory Bldg. CPS","Distributional","PA Practicing Arts","null","null","null","null","null","null","Chinese Ensemble provides Chinese instrument majors large
ensemble and chamber music experience with regular rehearsals and performance
opportunities. Students work closely with the ensemble coach and their studio
teachers to further develop their skills in ensemble playing, intonation, and
musical expression through practical playing experience. At least one major
Chinese Ensemble concert with the participation of all Chinese instrument
majors will be performed each semester on campus, supplemented by other types
of performance opportunities on and off campus throughout the year. Studio
teachers assist the ensemble coach as well as performing in ensembles, allowing
students to learn firsthand from the playing of more experienced musicians.
Mixed ensembles including Western instruments are encouraged. The Chinese
Ensemble program is further enriched by master classes and concerts by guest
artists.  Note: This course will be the
US-China Music Institute equivalent to both the Conservatory Chamber Music and
Orchestra requirements. Separate enrollment in Chamber Music or Orchestra is
not required.  This class is open to all
students at Bard. If you are not a conservatory student but want to take this
class, please contact hlin@bard.edu for more information.  This class is also possible to be a 2 credits
class up on request.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-21","https://inside.bard.edu/academic/courses/current/menu.htm","Literature and Language of Chinese
  Music II: Instrumental Music","CNSV 126","11178","20","2","Xinyan Li","Tue      2:00 PM
  - 3:20 PM Bito Conservatory Bldg. 210","Distributional","AA Analysis of Art","null","null","null","null","null","null","Through the repertoire listening and score study, this course
emphasizes the history, structure, orchestration, melodic and performance
characteristics of Chinese instrumental music, including solo instrumental
music, silk and bamboo ensemble music, as well as winds and percussion ensemble
music. It also includes minority music from Mongolian, Uyghur, Dong, Miao, Yi,
Dai, Naxi, Korean and Kinh, as well as contemporary chamber and orchestral
masterpieces composed in the past 40 years.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-22","https://inside.bard.edu/academic/courses/current/menu.htm","Orchestral Repertoire for Winds,
  Brass, Percussion, and Harp","CNSV 130","11168","30","2","Edward Carroll","Wed     2:00 PM
  - 3:20 PM Bito Conservatory Bldg. CPS","Distributional","PA Practicing Arts","null","null","null","null","null","null","Works drawn from the core of the symphonic repertoire are
studied and rehearsed in 2- hour sessions throughout the semester. This course
addresses issues of ensemble playing, intonation and musical expression for
wind, brass, percussion, and harp players in orchestra. This course also
broadens the knowledge of the symphonic repertoire through actual playing
experience. Woodwind/Brass class will follow from 7:30 pm – 9:30 pm","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-23","https://inside.bard.edu/academic/courses/current/menu.htm","Orchestral Repertoire for winds,
  brass, percussion, and harp","CNSV 130","11168","30","2","Edward Carroll","Wed     2:00 PM
  - 3:20 PM Bito Conservatory Bldg. CPS","Distributional","PA Practicing Arts","null","null","null","null","null","null","Works drawn from the core of the symphonic repertoire are
studied and rehearsed in 2- hour sessions throughout the semester. This course
addresses issues of ensemble playing, intonation and musical expression for
wind, brass, percussion, and harp players in orchestra. This course also
broadens the knowledge of the symphonic repertoire through actual playing
experience. Woodwind/Brass class will follow from 7:30 pm – 9:30 pm","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-24","https://inside.bard.edu/academic/courses/current/menu.htm","Composing for Film: Aesthetics &
  Techniques","CNSV 201","11169","15","2","Mark Baechle","Wed     3:30 PM
  – 5:30 PM","Distributional","PA  Practicing
  Arts","Crosslists","Music","null","null","null","null","This course will explore the aesthetics and practice of film
music composition. Common uses of film music will be understood through the
analysis of pivotal film scores. Techniques for writing and producing film
music will be demonstrated using behind the scenes, real world examples from
Oscar winning Indies and Hollywood Blockbusters. In addition to gaining an
understanding of the design of popular film scores, students will learn
practical techniques and methods for creating music productions through
demonstrations using software applications and computer workstations. The
course will feature guest lectures from some of the leading figures in film music
composition, including Conservatory dean and film composer Tan Dun.
Prerequisites: This class is open to all students at Bard who have a basic
knowledge of music theory demonstrated through successful completion of a
Conservatory or Music Program theory class. Or by permission of instructor.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-25","https://inside.bard.edu/academic/courses/current/menu.htm","Alexander Technique for Musicians","CNSV 211","11170","20","1","Alexander Farkas","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","The Alexander Technique provides a way of teaching us how to
re-connect with our own innate energies. For musicians this means discovering a
way of performing with greater muscular ease, less accumulated fatigue and a
less restrictive approach to technique. This course introduces both F. M.
Alexander's principles and a new set of physical experiences suited to the
musician's specific needs. The aim of the class will be learning how to apply
the Technique to practice and performance situations. Students will have the
opportunity to work with their instruments in class.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-26","https://inside.bard.edu/academic/courses/current/menu.htm","Literature and Language of Chinese
  Music II: Operatic Music","CNSV 226","11177","20","2","Xinyan Li","Tue      3:30 PM
  - 5:00 PM Bito Conservatory Bldg. 210","Distributional","AA Analysis of Art","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-27","https://inside.bard.edu/academic/courses/current/menu.htm","Core Sequence Class II: Chromatic
  Harmony and Combined Species Counterpoint","CNSV 240","11171","25","4","Ryan McCullough","Tue  Thurs    2:00 PM
  - 3:20 PM Blum Music Center N217","Distributional","PA Practicing Arts","null","null","null","null","null","null","This course is a continuation of the material studied in CNSV
140. It covers the many possibilities of using non-diatonic tones in a key
(i.e., chromaticism), spanning a variety of topics such as modal mixture,
applied (i.e., secondary) dominants, the Phrygian 2 and the different forms of
the augmented-sixth chords. This course also focuses upon the study of combined
species counterpoint. In addition to understanding how combined-species
patterns form the basis of diatonic sequences, the interaction between
contrapuntal voice-leading techniques and genuine harmonic progressions will be
clarified. Prerequisite: CNSV 140 or permission of the instructor.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-28","https://inside.bard.edu/academic/courses/current/menu.htm","Aural Skills IV","CNSV 309","11172","0","2","David Sytkowski","Tue  Thurs    10:10 AM
  - 11:30 AM Olin 104","Distributional","PA Practicing Arts","null","null","null","null","null","null","The course aims to continue developing skills that were
acquired from Aural Skills III. Topics covered include aural identification,
sight-singing of increasingly complex rhythms and melodies, and multiple-voice
dictation. Modulation and extended harmonic progressions will be covered in
addition to general reinforcement of previously learned skills. It is
recommended that this course and Aural Skills III be taken in the first two
years of the Conservatory degree. A placement test will be offered each
semester to determine each student's facility with the material.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-29","https://inside.bard.edu/academic/courses/current/menu.htm","Core Sequence Class III: Composition
  for Performers","CNSV 330","11173","20","4","Joan Tower","Tue      10:00 AM
  - 11:30 AM Blum Music Center Hall","Distributional","PA Practicing Arts","null","null","null","null","null","null","Core Sequence in Theory, Analysis, and Composition. The
composition seminar is taught by the conservatory composition faculty Joan
Tower and George Tsontakis, two of our most celebrated composers and teachers
of composition. Students will produce several original compositions to be
performed by themselves and others at a final concert. Exemption policy:
Students can petition for exemption based on their having produced substantial
original works. (Of course, those with an interest in composition will be unlikely
to pass up the opportunity to study with two major figures in contemporary
music.)","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-30","https://inside.bard.edu/academic/courses/current/menu.htm","Core Sequence Class IV: Conservatory
  Seminar","CNSV 332","11174","20","4","Christopher Gibbs","Tue      3:10 PM
  - 5:30 PM Blum Music Center N210","Distributional","AA Analysis of Art","null","null","null","null","null","null","Conservatory Seminar explores the intersection of music
history, theory, and performance by concentrating on pieces from the
conservatory orchestra’s recent repertoire, including Beethoven’s Ninth
Symphony, Strauss’s Salome, Mahler’s Symphonies No. 2 and 3, Tchaikovsky’s
Nutcracker as well as compositions being performed this semester.This We will
address broad questions such as how these works were written and first received
by audiences, the political and social context in which they were composed and
understood, the relationship between the formal structure of the work and
others of a similar general type, how the form of the work conveys meaning for
particular sets of listeners, and how these meanings have evolved through time.
The seminar also considers broader issues in the classical musical culture of
our time, including the so-called Death of Classical Music, concert
programming, and effective ways to speak and write about music for general
audiences.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-31","https://inside.bard.edu/academic/courses/current/menu.htm","Senior Recital Seminar","CNSV 403","11175","20","2","Peter Laki Raman Ramakrishnan","-","Distributional","PA Practicing Arts","null","null","null","null","null","null","null","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-32","https://inside.bard.edu/academic/courses/current/menu.htm","Chinese Ensemble","CNSV 118","11176","20","0","Chen Tao","Tue      7:00 PM - 9:30
  PM Bito Conservatory Bldg. CPS","Distributional","PA Practicing Arts","null","null","null","null","null","null","Chinese Ensemble provides Chinese instrument majors large
ensemble and chamber music experience with regular rehearsals and performance
opportunities. Students work closely with the ensemble coach and their studio
teachers to further develop their skills in ensemble playing, intonation, and
musical expression through practical playing experience. At least one major
Chinese Ensemble concert with the participation of all Chinese instrument
majors will be performed each semester on campus, supplemented by other types
of performance opportunities on and off campus throughout the year. Studio
teachers assist the ensemble coach as well as performing in ensembles, allowing
students to learn firsthand from the playing of more experienced musicians.
Mixed ensembles including Western instruments are encouraged. The Chinese
Ensemble program is further enriched by master classes and concerts by guest
artists.  Note: This course will be the
US-China Music Institute equivalent to both the Conservatory Chamber Music and
Orchestra requirements. Separate enrollment in Chamber Music or Orchestra is
not required.  This class is open to all
students at Bard. If you are not a conservatory student but want to take this
class, please contact hlin@bard.edu for more information.  This class is also possible to be a 2 credits
class up on request.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-33","https://inside.bard.edu/academic/courses/current/menu.htm","Literature and Language of Chinese
  Music II: Instrumental Music","CNSV 126","11178","20","2","Xinyan Li","Tue      2:00 PM
  - 3:20 PM Bito Conservatory Bldg. 210","Distributional","AA Analysis of Art","null","null","null","null","null","null","Through the repertoire listening and score study, this course
emphasizes the history, structure, orchestration, melodic and performance
characteristics of Chinese instrumental music, including solo instrumental
music, silk and bamboo ensemble music, as well as winds and percussion ensemble
music. It also includes minority music from Mongolian, Uyghur, Dong, Miao, Yi,
Dai, Naxi, Korean and Kinh, as well as contemporary chamber and orchestral
masterpieces composed in the past 40 years.","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449711-34","https://inside.bard.edu/academic/courses/current/menu.htm","Literature and Language of Chinese
  Music II: Operatic Music","CNSV 226","11177","20","2","Xinyan Li","Tue      3:30 PM
  - 5:00 PM Bito Conservatory Bldg. 210","Distributional","AA Analysis of Art","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
"1682449713-35","https://inside.bard.edu/academic/courses/current/menu.htm","The City and the Experiment","LIT 273","11390","22","4","Adhaar Desai","Tue 
  Thurs    10:10 AM – 11:30 AM
  Olin 205","Distributional","LA Literary
  Analysis in English","Crosslists","Environmental & Urban
  Studies; Environmental Studies; Experimental Humanities","null","null","null","null","This course satisfies the “History of the Experiment” requirement for
the Experimental Humanities concentration. Modernity is often described in
terms of the development of science’s experimental method and in terms of the
proliferation of populations living in urban environments. What does
experimentation have to do with how communities and publics organize their
lives in cities? How have certain populations been disempowered and
marginalized, and how have other aspects of civic life, such as politics, infrastructure,
the environment, cultural production, and public health been impacted by the
relationship between science and technology and urban life? This course studies
two twinned concepts, “the city” and “the experiment,” from a variety of
different disciplinary perspectives to interrogate the distances between
experimentation and lived experience, theory and practice, and the humanities,
the arts, and the sciences. Collaborative and interdisciplinary in both form
and content, this is an OSUN Network-Collaborative course that will involve
sustained interactions between students at Bard College and students in a
parallel urban sociology course at the European Humanities University in
Lithuania. Culminating in the study of “urban laboratories” as sites of sociological
experimentation, the course will challenge students at Bard and EHU to
collaboratively, imaginatively, and experimentally engage with concrete civic
problems. Readings will stretch from early modernity and the Enlightenment
through urgent contemporary texts, and will situate artistic works by authors
such as Thomas More, Italo Calvino, Octavia Butler,
and N. K. Jemisin alongside theoretical, historical,
and critical texts by Francis Bacon, Augusto Boal, Jane Jacobs, Michel de Certeau, Doreen Massey, and Bruno Latour.
This is an OSUN Network
Collaborative Course, taught on multiple OSUN partner institutions and designed
to allow students to learn and work together across campuses.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
"1682449713-36","https://inside.bard.edu/academic/courses/current/menu.htm","Gender, the State, and Feminist
  Politics","SOC 278","11361","22","4","Allison McKim","Tue 
  Thurs    11:50 AM – 1:10 PM Olin
  305","Distributional","SA Social Analysis D+J Difference and Justice","Crosslists","American & Indigenous Studies; Gender and Sexuality Studies;
  Global & International Studies; Human Rights","null","null","null","null","This course examines how gender
shapes state power, policy, citizenship, rights, and modes of governance, and
how, in turn, the state shapes gender relations, inequalities, politics, and
identities. Throughout we will approach gender as intertwined with other
dimensions of power, difference, and inequality, especially race and class. The
course also investigates how feminist movements have engaged the state. We
consider the challenges they have posed to policy, politics, and notions of
citizenship. And we ask how feminists have made claims on the state and tried
to use the state to address gender inequality and patriarchal domination. While
some of the course will focus on the United States, we also examine the state
and feminist politics in various national contexts, including colonial and
post-colonial states, and we will consider conflict within and among global
feminist movements and within feminist theory. How have these movements thought
about solidarity and worked toward feminist visions of social justice? This
course is part of the OsUN Transnational Feminism,
Solidary, and Social Justice initiative. We will occasionally collaborate with
linked courses at universities in several countries. Within this expansive
topic, the course focuses on a few key issues, including welfare policy;
family, work, and care work; sexual/gender violence; law and women’s rights;
criminalization; and reproductive justice. This is an OSUN Network
Collaborative Course, taught on multiple OSUN partner institutions and designed
to allow students to learn and work together across campuses.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
"1682449713-37","https://inside.bard.edu/academic/courses/current/menu.htm","Free Speech","LIT 218","11395","22","4","Thomas Keenan","Mon 
  Wed     10:10 AM – 11:30 AM Barringer 104","Distributional","MBV Meaning, Being, Value D+J
  Difference and Justice","Crosslists","Human Rights","null","null","null","null","(Human Rights core course, OSUN
global course) An introduction to debates about freedom of
expression. What is ‘freedom of speech’? Is there a right to say
anything? Why? We will investigate who has had this right, where and why, and
what it has had to do in particular with politics and culture. What powers does
speech have, and for what? Debates about censorship, dissidence and protest,
hate speech, the First Amendment and Article 19 of the Universal Declaration of
Human Rights will be obvious starting points, but we will also explore some
less obvious questions: about faith and the secular, the rights of minorities,
migration, surveillance, speaking and political agency, law and politics,
social media, and the force(s) of words. In asking about the status of the
speaking human subject, we will look at the ways in which the subject of
rights, and indeed the thought of human rights itself, derives from an
experience of claiming, speaking, and speaking up. These questions will be
examined, if not answered, across a variety of philosophical, legal,
journalistic, and political texts, with a heavy dose of case studies (many of
them happening right now) and readings in contemporary critical and legal
theory. Taught in parallel with classes at Bard College
Berlin (Germany), Al-Quds Bard College for Liberal Arts and Sciences in Abu Dis
(Palestine), and the American University of Central Asia in Bishkek (Kyrgystan). Many of our assignments and activities
will be shared, and we will work jointly on some material with students at
other schools. This is an OSUN Network
Collaborative Course, taught on multiple OSUN partner institutions and designed
to allow students to learn and work together across campuses.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
"1682449713-38","https://inside.bard.edu/academic/courses/current/menu.htm","Civic Engagement and Social
  Action","PS 209","11340","18","4","Jonathan Becker and Erin Cannan","Mon 
  Wed     10:10 AM – 11:30 AM OSUN
  Course","Distributional","SA Social Analysis D+J Difference and Justice","Crosslists","Human Rights","null","null","null","null","What does it mean to be engaged
with your community? What can students participating in civic engagement
projects learn from others in universities in places like Haiti, Ghana,
Kyrgyzstan, Bangladesh and the United States? This course will examine historical,
philosophical and practical elements of civic engagement while exploring the
underlying question of what it means to be civically engaged in the early 21st
century. Together, students will explore issues related to political
participation, civil society, associational life, social justice, and personal
responsibility, as well as how issues like race and socio-economic status
impact civic participation. The class reflects a balance between study and
practice of engagement which includes interrogating theoretical notions of
civic life while also empowering students to be active participants in the
communities in which they are situated. 
The culminating project asks students to propose a civic engagement
project in their home or local community. This course will feature workshops,
lectures and seminar discussions. 
Special class visits will incorporate experiences of civic leaders,
local officials, global not-for-profit leaders, and volunteers from communities
proximate to participating OSUN campuses. 
This course uniquely combines three types of course offerings into
one.  It is an OSUN Network Collaborative
Course, an OSUN Online course and an Engaged Liberal Arts and Science (ELAS)
course.  This means that there are
multiple ways we engage with ideas and people. This is an OSUN Online Class,
taught online and open to Bard students and students from OSUN partner
institutions. This is an OSUN Network Collaborative Course, taught on multiple
OSUN partner institutions and designed to allow students to learn and work
together across campuses.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
"1682449713-39","https://inside.bard.edu/academic/courses/current/menu.htm","A Lexicon of Migration","GIS 224","11277","22","4","Jeff Jurgens","Mon 
  Wed     10:10 AM – 11:30 AM
  Avery Film Center 117","Distributional","SA Social Analysis D+J Difference and Justice","Crosslists","American & Indigenous Studies; Global & International Studies;
  Human Rights; Middle Eastern Studies","null","null","null","null","Migration is one of the most
important and contested features of today’s interconnected world. In one way or
another, it has transformed most if not all contemporary nation-states into
“pluralist,” “post-migrant,” and/or “super-diverse” polities. And it affects
everyone—regardless of their own migratory status. This course examines the
history of migration from local, national, and global perspectives, with
particular emphasis on the economic and political developments that have
produced specific forms of mobility in the Americas,
Europe, and the Middle East.. The course also
traces the emergence of new modes of border regulation and migration governance
as well as novel forms of migrant cultural production and representation. Above
all, it aims to provide students with the tools to engage critically with many
of the concepts and buzzwords—among them “asylum,” “border,” “belonging,”
“citizenship,” and “illegality”—that define contemporary public debates. It
also encourages students to examine how migration experiences have been, and
will continue to be, inflected by differences of race, ethnicity, gender,
sexuality, class, religious affiliation, (dis)ability, and legal status. A
Lexicon of Migration is a network collaborative course that will work together
with similar courses on other OSUN campuses, in addition to courses in the
Migration Consortium at Bennington, Sarah Lawrence, and Vassar.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
"1682449713-40","https://inside.bard.edu/academic/courses/current/menu.htm","Leading Change for
  Sustainability","EUS 327","11299","25","4","Aurora Winslade","Tue 
  Thurs    10:10 AM – 11:30 AM Barringer 104","Distributional","SA Social Analysis","null","null","null","null","null","null","This is a collaborative,
cross-institution course in leading change in organizations where student teams
develop and advance proposals for organizational innovation within the
university. Examples might include carbon footprint analysis, expansion of local
food offerings, improved daycare or transportation for students and workers, or
improved recycling system. Bard students will work with classes from Palestine,
Kyrgyzstan, Bangladesh and Lithuania through a mixture of synchronous on-line
learning, and in-person labs. The course will culminate in a “shark tank for
sustainability” between teams from the different universities. Topics include
understanding why change fails more often than it succeeds, the key factors
that drive successful organizational change, the role of the change
facilitator, and tools for designing and facilitating processes that bring
forth the group intelligence. This will be a hybrid, synchronous online course
with an in-person lab, taught at Bard, AUCA, AQB, BRAC, and EHIl.
The synchronous online session is taught by Bard MBA professor Aurora Winslade and meets one day per week, simultaneously in all
countries for 90 minutes. The course has an in-person, 90-minute section once
per week taught by co-instructors. This is an OSUN
Network Collaborative Course, taught on multiple OSUN partner institutions and
designed to allow students to learn and work together across campuses.","OSUN Network Collaborative Classes","https://inside.bard.edu/academic/courses/current/osunnetwork.htm"
