web-scraper-order,web-scraper-start-url,title,number,crn,class_cap,credits,professor,schedule,property_1_type,property_1_value,property_2_type,property_2_value,property_3_type,property_3_value,property_4_type,property_4_value,description,programs,programs-href
"1682471273-972","https://inside.bard.edu/academic/courses/fall2023/menu.htm","International Trade","ECON 223","91966","22","4","Youssef
  Bennasser","Tue  Thurs    3:30 PM
  – 4:50 PM Hegeman 102","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471273-973","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Introduction to Econometrics","ECON 229","91967","18","4","Sanjay DeSilva","Mon  Wed     3:30 PM
  – 4:50 PM Albee 106","Distributional","MC  Mathematics
  and Computing","Crosslists","Economics
  & Finance; Environmental & Urban Studies; Environmental Studies;
  Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471273-974","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Contemporary Developments in Finance","ECON 390","92404","16","4","Taun Toay","Tue      3:10 PM
  – 5:30 PM","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471276-975","https://inside.bard.edu/academic/courses/fall2023/menu.htm","null","92191","CNSV","4","null","Course Number: CNSV 100 DA","Course Number: CNSV 100 EC","CRN","Course Number: CNSV 100 ECB","CRN","Course Number: CNSV 100 RC","CRN","Course Number: CNSV 100 SC","CRN","Course Number: CNSV 100 ED","","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-976","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Composition Tutorial","CNSV 102 MM","92227","5","4","Melissa Mazzoli","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-977","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Composition Tutorial","CNSV 102 JM","92228","5","4","Jessie Montgomery","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-978","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Composition Tutorial","CNSV 102 JT","92229","5","4","Joan Tower","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-979","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Composition Tutorial","CNSV 102 GT","92230","5","4","George Tsontakis","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course is for Conservatory composition majors  and consists of 13 one-hour private lessons
with members of the Bard College Conservatory composition faculty.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-980","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Secondary Piano","CNSV 104","92231","20","2","Erika Switzer","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course develops technical and musical skills through
weekly hour-long private piano lessons taught by the excellent pianists of the
Postgraduate Collaborative Piano Fellowship. Students are graded based on the
quality of preparation for lessons, attendance, and an end of the semester jury.
Registration is open to Conservatory students at all levels of pianistic skill
and experience. College students wishing to take secondary piano do so through
the undergraduate music program.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-981","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Voice Lessons","CNSV 106 RM","92232","5","2","Rufus Müller","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-982","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Voice Lessons","CNSV 106 TB","92233","5","2","Teresa Buchholz","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-983","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Voice Lessons","CNSV 106 LFG","92234","5","2","Lucy Fitz Gibbon","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-984","https://inside.bard.edu/academic/courses/fall2023/menu.htm","First-Year Conservatory Forum: Wellness, Life Skills and
  Chamber Music","CNSV 108","92236","30","2","Melissa Reardon and Raman Ramakrishnan","Mon       6:40 PM
  - 8:00 PM Olin 104","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Enrollment in this course is required of all first-year
undergraduate students in the Conservatory. Chamber music is a key component of
the Conservatory experience. An intensive study of chamber music, in addition
to creating its own rewards, teaches us many invaluable life skills. Life as a
musician can be extremely fulfilling, but it can also, at times, be difficult
physically, psychologically, socially, logistically, and in any number of other
ways. This course aims to give students some tools to help them navigate their
lives as musicians in the double degree program and beyond. In addition to the
serious study of a chamber music work, a series of presentations, workshops,
and discussions will cover such topics as time management, practice techniques,
physical well-being, and mental well-being. Chamber groups will work with
Conservatory faculty, participate in weekly workshops, and present a final
performance at the end of the semester.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-985","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Chamber Music","CNSV 110","92237","100","2","Marka Gustavsson","Wed     1:20 PM
  - 3:20 PM Blum Music Center HALL","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Enrollment in this course is required of all Bard
Conservatory performance undergraduates, after their first year fall semester
in CNSV 108. Each student will be assigned to a chamber group or students may
request their to play a specific piece, with colleagues who have also committed
to the project. Requests must be sent to gustavss@bard.edu before August 15,
and January 15. Rehearsal requirements should 
include at least two weekly 90 min meetings, regular coaching to be
arranged by the lesson scheduler, participation and attendance in weekly
performance classes. Performance is required in one or more of the following
concerts: the Chamber Music Marathon (Nov/April), noon concerts, student
recitals. **Notes: Undergraduate students who have an exceptional need to
reduce their workload may apply for a waiver for CNSV 110. Students must submit
the online waiver form, and send an email notification to gustavss@bard.edu.
The waiver must be approved before the end of the first week of classes.
Waivers received later than the first week will not be considered. Students may
request to audit Chamber Music CNSV 110 for 0 cr, however the workload remains
the same as the credit bearing requirement.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-986","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Orchestral Training and Repertoire","CNSV 112","92238","100","0","Erica Kiesewetter","Tue  Thurs    7:00 PM
  - 9:30 PM Fisher Performing Arts Center SSR","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This class will focus on training and performance of
orchestral literature (standard and also unusual and contemporary). Bi-annual
auditions help familiarize students with this process, and sectionals are held
by members of the American Symphony orchestra, Metropolitan Opera Orchestra and
other faculty. Four programs a year including opera, and extra performances in
major US cities and abroad. Maestro Leon Botstein is the music director, and
guest conductors appear for two programs a year, in addition to Tan Dun and
James Bagwell.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-987","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Chinese Ensemble","CNSV 118","92247","15","0","Chen Tao","Mon  Wed     7:30 PM
  - 10:00 PM Bito Conservatory Bldg. CPS","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Chinese Ensemble provides Chinese instrument majors large
ensemble and chamber music experience with regular rehearsals and performance
opportunities. Students work closely with the ensemble coach and their studio
teachers to further develop their skills in ensemble playing, intonation, and
musical expression through practical playing experience. At least one major
Chinese Ensemble concert with the participation of all Chinese instrument
majors will be performed each semester on campus, supplemented by other types of
performance opportunities on and off campus throughout the year. Studio
teachers assist the ensemble coach as well as performing in ensembles, allowing
students to learn firsthand from the playing of more experienced musicians.
Mixed ensembles including Western instruments are encouraged. The Chinese
Ensemble program is further enriched by master classes and concerts by guest
artists.  Note: This course will be the
US-China Music Institute equivalent to both the Conservatory Chamber Music and
Orchestra requirements. Separate enrollment in Chamber Music or Orchestra is
not required.  This class is open to all
students at Bard. If you are not a conservatory student but want to take this
class, please contact hlin@bard.edu for more information.  This class is also possible to be a 2 credits
class up on request.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-988","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Literature and Language of Chinese Music I: Introduction","CNSV 125","92249","12","2","Mingmei Yip-Redmond","Thurs    11:50 AM
  - 1:10 PM Blum Music Center N210","Distributional","AA  Analysis
  of Art","null","null","null","null","null","null","Through more than three thousand years long history, Chinese
has developed a unique musical aesthetic and system which intertwined with its
philosophy, culture and customs of both the Han and ethnic tribes. This course
will present Chinese music in its social and cultural context and will be
suitable for beginners and more advanced students. It will introduce Chinese
music through interactive didactic sessions augmented with recordings of the
kinds of music under discussion, and PowerPoint presentations of related
Chinese art, together with guest appearances of prominent performers in the New
York area. This class is open to all college students.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-989","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Literature and Language of Chinese Music III: Folk Music","CNSV 128","92251","12","2","Mingmei Yip-Redmond","Thurs    1:30 PM
  - 2:50 PM Blum Music Center N210","Distributional","AA  Analysis
  of Art","null","null","null","null","null","null","Through the repertoire listening, score study, and singing,
this course emphasizes the history, structure, melodic, rhythmic, harmonic, and
performance characteristics of Chinese folk music. It includes Han folk songs
Shan Ge, Xiao Diao, and Hao Zi, and minority folk songs of Mongolian, Uyghur,
Tibetan, Yi, Dai, Miao, Nakhi, and Korean. It also includes Han and minority
folk songs and dances of Han, Uyghur, Tibetan, Miao, Dong, and Dai as well as
folk chorus of Han, Dong, Miao, Tujia, and Zhuang. Speaking and singing will
also be introduced in this class. Students will have the opportunity to learn
composition techniques in various folk music styles.  Prerequisite: For students majoring other than
Chinese music, they must complete Music Theory II in the Department of Music or
Conservatory Core Sequence Class I before taking Chinese Music III: Folk Music.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-990","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Orchestral Repertoire for Winds, Brass, Percussion, and
  Harp","CNSV 130","92239","30","2","Edward Carroll","Wed     2:00 PM
  - 3:30 PM Bito Conservatory Bldg. CPS","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Works drawn from the core of the symphonic repertoire are
studied and rehearsed in 2- hour sessions throughout the semester. This course
addresses issues of ensemble playing, intonation and musical expression for
wind, brass, percussion, and harp players in orchestra. This course also
broadens the knowledge of the symphonic repertoire through actual playing
experience. Woodwind/Brass class will follow from 7:30 pm – 9:30 pm","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-991","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Core Sequence Class I: Diatonic Harmony and Single Species
  Counterpoint","CNSV 140","92240","20","4","Eric Wen","Tue  Thurs    1:30 PM
  - 2:50 PM Blum Music Center N217","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Core Sequence in Theory, Analysis, and Composition. Harmony
and Counterpoint is an accelerated introduction to species counterpoint and
traditional harmony, now increasingly weighted towards the latter as a
necessary background for Composing in Tonal Forms. There are no prerequisites
to the class aside from basic musical literacy, particularly the ability to
read treble bass and alto clefs reasonably fluently. A very few conservatory
students will require a review of musical fundamentals, obtainable through the
music department Theory I class. Exemption policy: Exemption is to be
determined by a placement exam. Those who have taken theory and counterpoint at
others schools are generally well prepared to place.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-992","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Composing for Film: Aesthetics & Techniques","CNSV 201","92241","15","2","Mark Baechle","-","Distributional","PA  Practicing
  Arts","Crosslists","Music","null","null","null","null","This course will explore the aesthetics and practice of film
music composition. Common uses of film music will be understood through the
analysis of pivotal film scores. Techniques for writing and producing film
music will be demonstrated using behind the scenes, real world examples from
Oscar winning Indies and Hollywood Blockbusters. In addition to gaining an
understanding of the design of popular film scores, students will learn
practical techniques and methods for creating music productions through
demonstrations using software applications and computer workstations. The
course will feature guest lectures from some of the leading figures in film
music composition, including Conservatory dean and film composer Tan Dun.
Prerequisites: This class is open to all students at Bard who have a basic
knowledge of music theory demonstrated through successful completion of a
Conservatory or Music Program theory class. Or by permission of instructor.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-993","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Alexander Technique for Musicians","CNSV 211","92242","20","1","Alexander Farkas","-","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","The Alexander Technique provides a way of teaching us how to
re-connect with our own innate energies. For musicians this means discovering a
way of performing with greater muscular ease, less accumulated fatigue and a
less restrictive approach to technique. This course introduces both F. M.
Alexander's principles and a new set of physical experiences suited to the
musician's specific needs. The aim of the class will be learning how to apply
the Technique to practice and performance situations. Students will have the opportunity
to work with their instruments in class.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-994","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Literature and Language of Chinese Music III: Folk Music","CNSV 218","92250","12","2","Xinyan Li","Tue      3:30 PM
  - 4:50 PM Blum Music Center N210","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Through the repertoire listening, score study, and singing,
this course emphasizes the history, structure, melodic, rhythmic, harmonic, and
performance characteristics of Chinese folk music. It includes Han folk songs
Shan Ge, Xiao Diao, and Hao Zi, and minority folk songs of Mongolian, Uyghur,
Tibetan, Yi, Dai, Miao, Nakhi, and Korean. It also includes Han and minority
folk songs and dances of Han, Uyghur, Tibetan, Miao, Dong, and Dai as well as
folk chorus of Han, Dong, Miao, Tujia, and Zhuang. Speaking and singing will
also be introduced in this class. Students will have the opportunity to learn
composition techniques in various folk music styles.  Prerequisite: For students majoring other
than Chinese music, they must complete Music Theory II in the Department of
Music or Conservatory Core Sequence Class I before taking Chinese Music III:
Folk Music.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-995","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Aural Skills III","CNSV 308","92243","12","2","David Sytkowski","Tue  Thurs    8:30 AM
  - 9:50 AM Olin 104","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","This course should be taken at the same time as, or previous
to, taking Core Sequence I (Harmony and Counterpoint). It is recommended that
this course and Aural Skills IV be taken in the first two years of the
Conservatory degree.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-996","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Keyboard Skills","CNSV 310","92244","12","2","Frank Corliss","TBA","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","A class designed for piano majors who wish to develop and
improve skills in score reading, transposition, sight reading, and playing
orchestral reductions. May be taken for a total of 2 semesters.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-997","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Core Sequence Class III: Composition for Performers","CNSV 330 B","92245","12","4","Joan Tower","Tue      10:40 AM
  - 12:00 PM Blum Music Center HALL","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Core Sequence in Theory, Analysis, and Composition. The
composition seminar is taught by the conservatory composition faculty Joan
Tower and George Tsontakis, two of our most celebrated composers and teachers
of composition. Students will produce several original compositions to be
performed by themselves and others at a final concert. Exemption policy:
Students can petition for exemption based on their having produced substantial
original works. (Of course, those with an interest in composition will be
unlikely to pass up the opportunity to study with two major figures in
contemporary music.) Students must contact the instructor first before signing
up for the class.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-998","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Core Sequence Class III: Composition for Performers","CNSV 330 A","92325","8","4","Joan Tower","Tue      9:10 AM
  - 10:40 AM Blum Music Center HALL","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Core Sequence in Theory, Analysis, and Composition. The
composition seminar is taught by the conservatory composition faculty Joan
Tower and George Tsontakis, two of our most celebrated composers and teachers
of composition. Students will produce several original compositions to be
performed by themselves and others at a final concert. Exemption policy:
Students can petition for exemption based on their having produced substantial
original works. (Of course, those with an interest in composition will be
unlikely to pass up the opportunity to study with two major figures in
contemporary music.) Students must contact the instructor first before signing
up for the class.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-999","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Core Sequence Class IV: Conservatory Seminar on Chinese
  Music and Society","CNSV 333","92252","12","4","Jindong Cai","Tue      6:00 PM
  - 9:00 PM Blum Music Center N217","Distributional","None","null","null","null","null","null","null","This is the capstone class for the Conservatory Core Sequence
in Chinese Music, and is designed to give students the ability to place their
music making in a larger social, historical, and expressive context. The
seminar explores Chinese music and the arts in society. Topics include the
political role that music and the arts have played, and continue to play, in
modern China’s history, as well as the history of Western music in China and
its close association with domestic politics and international diplomacy. This
course is taught by the director of the US-China Music Institute, Jindong Cai.
The course is taught in English, Mandarin Chinese is not required. Open to
college students with the permission of the instructor.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
"1682471276-1000","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Senior Recital Seminar","CNSV 403","92246","40","2","Peter Laki Raman Ramakrishnan","Tue  Thurs    1:30 PM
  - 2:50 PM Bito Conservatory Bldg. CPS","Distributional","PA  Practicing
  Arts","null","null","null","null","null","null","Students who are preparing for their degree recitals meet
weekly to perform their recital repertoire for each other, and for members of
the Conservatory faculty. In addition, the students conduct historical and
analytical research into their repertoire, and write program notes that are
printed and distributed to the audience the day of the recital, timetable
permitting. Besides the weekly performance class, the seminar normally entails
four or five individual meetings with the faculty member who assigns reading
materials and supervises the writing of the program notes. The objective of the
seminar is to give students an opportunity to become comfortable performing
their recital repertoire, and to learn how to give each other constructive
comments; they will also discuss and reflect on the music, and hone their
writing styles.","Conservatory of Music","https://inside.bard.edu/academic/courses/fall2023/conservatory.html"
